User,Bot,formatted
where do you see the lesions?,cerebrum and lateral ventricles,"User: where do you see the lesions? 
Bot: cerebrum and lateral ventricles
"
how many ribs are superimposed on the lung fields?,12,"User: how many ribs are superimposed on the lung fields? 
Bot: 12
"
is there thickening of the jejunum,yes,"User: is there thickening of the jejunum 
Bot: yes
"
what organ is involved?,pancreas,"User: what organ is involved? 
Bot: pancreas
"
are the calcifications superior or inferior to the diaphragm?,superior,"User: are the calcifications superior or inferior to the diaphragm? 
Bot: superior
"
where is the lesion located?,left mid lung,"User: where is the lesion located? 
Bot: left mid lung
"
what is the location of the brain mass?,posterior fossa,"User: what is the location of the brain mass? 
Bot: posterior fossa
"
is this a pneumonia vs. pleural effusion?,pleural effusion,"User: is this a pneumonia vs. pleural effusion? 
Bot: pleural effusion
"
what is the radiological description of the mass?,hyperintense,"User: what is the radiological description of the mass? 
Bot: hyperintense
"
do you see a cavitary lesion in this chest xray?,yes,"User: do you see a cavitary lesion in this chest xray? 
Bot: yes
"
was this image taken via mri?,no,"User: was this image taken via mri? 
Bot: no
"
is there any bleeding in this patient's brain?,no,"User: is there any bleeding in this patient's brain? 
Bot: no
"
is this a ring enhancing lesion?,no,"User: is this a ring enhancing lesion? 
Bot: no
"
is there swelling of the choroid fissure?,no,"User: is there swelling of the choroid fissure? 
Bot: no
"
where do you see a large hematoma?,right lateral ventricle,"User: where do you see a large hematoma? 
Bot: right lateral ventricle
"
what is the shape of the liver mass?,infiltrative,"User: what is the shape of the liver mass? 
Bot: infiltrative
"
is mass effect obvious?,yes,"User: is mass effect obvious? 
Bot: yes
"
is there fat stranding present?,no,"User: is there fat stranding present? 
Bot: no
"
what are defining radiological features of large bowel?,air?,"User: what are defining radiological features of large bowel? 
Bot: air?
"
are any of the patient's ribs fractured?,no,"User: are any of the patient's ribs fractured? 
Bot: no
"
can you see intraperitoneal bleeding in this ct?,no,"User: can you see intraperitoneal bleeding in this ct? 
Bot: no
"
where is the aortic arch?,right side,"User: where is the aortic arch? 
Bot: right side
"
are there >8 ribs shown in this image?,yes,"User: are there >8 ribs shown in this image? 
Bot: yes
"
what type of image modality is used?,mri,"User: what type of image modality is used? 
Bot: mri
"
is the midbrain identified in this section?,yes,"User: is the midbrain identified in this section? 
Bot: yes
"
the bottom of the image indicates what area of the brain?,posterior brain,"User: the bottom of the image indicates what area of the brain? 
Bot: posterior brain
"
what structure is seen in the left hemidiaphragmatic area?,sigmoid flexture of the colon,"User: what structure is seen in the left hemidiaphragmatic area? 
Bot: sigmoid flexture of the colon
"
is there tortuosity of the descending aorta?,yes,"User: is there tortuosity of the descending aorta? 
Bot: yes
"
how can you tell the mass is hemorrhagic and pushing the optic chiasm?,not sure,"User: how can you tell the mass is hemorrhagic and pushing the optic chiasm? 
Bot: not sure
"
in what plane is the ct scan?,axial,"User: in what plane is the ct scan? 
Bot: axial
"
what type of mr image modality is seen?,t2 weighted,"User: what type of mr image modality is seen? 
Bot: t2 weighted
"
does this image use contrast or not?,contrast,"User: does this image use contrast or not? 
Bot: contrast
"
is there symmetry of the patient's ribs on both sides?,no,"User: is there symmetry of the patient's ribs on both sides? 
Bot: no
"
is there fluid in the left lung?,yes,"User: is there fluid in the left lung? 
Bot: yes
"
what organ is superimposed on the lung fields?,breasts,"User: what organ is superimposed on the lung fields? 
Bot: breasts
"
are there any pulmonary consolidations?,no,"User: are there any pulmonary consolidations? 
Bot: no
"
do you see cardiomegaly?,no,"User: do you see cardiomegaly? 
Bot: no
"
is the heart size abnormal?,no,"User: is the heart size abnormal? 
Bot: no
"
what is the secondary pathology?,moderate edema,"User: what is the secondary pathology? 
Bot: moderate edema
"
is the patient's vertebral body indicative of normal aging?,yes,"User: is the patient's vertebral body indicative of normal aging? 
Bot: yes
"
does the gi contrast hi-light the small bowel?,yes,"User: does the gi contrast hi-light the small bowel? 
Bot: yes
"
what imaging modality is used?,xray,"User: what imaging modality is used? 
Bot: xray
"
why is the right kidney enlarged?,ureteral obstruction,"User: why is the right kidney enlarged? 
Bot: ureteral obstruction
"
is the location of the pulmonary nodules diffuse or lateralized to one side?,diffuse,"User: is the location of the pulmonary nodules diffuse or lateralized to one side? 
Bot: diffuse
"
is the heart dilated?,no,"User: is the heart dilated? 
Bot: no
"
is the cerebellum in view?,yes,"User: is the cerebellum in view? 
Bot: yes
"
how do you know this is a t2 weighted image?,csf is white.,"User: how do you know this is a t2 weighted image? 
Bot: csf is white.
"
is anything wrong in this image?,yes,"User: is anything wrong in this image? 
Bot: yes
"
how can you confirm contrast was used?,aorta is bright,"User: how can you confirm contrast was used? 
Bot: aorta is bright
"
do the ventricles have blood in them?,yes,"User: do the ventricles have blood in them? 
Bot: yes
"
is the gray-white matter junction altered?,yes,"User: is the gray-white matter junction altered? 
Bot: yes
"
in what plane is the image above captured?,axial,"User: in what plane is the image above captured? 
Bot: axial
"
what are those densities in the wall of the aorta?,calcifications,"User: what are those densities in the wall of the aorta? 
Bot: calcifications
"
what plane are we in?,axial,"User: what plane are we in? 
Bot: axial
"
is mesenteric lymphadenopathy present?,yes,"User: is mesenteric lymphadenopathy present? 
Bot: yes
"
does the lesion above enhance?,no,"User: does the lesion above enhance? 
Bot: no
"
is cardiomegaly present?,no,"User: is cardiomegaly present? 
Bot: no
"
what does the shape of the liver suggest?,cirrhosis,"User: what does the shape of the liver suggest? 
Bot: cirrhosis
"
is there intrahepatic ductal dilatation?,yes,"User: is there intrahepatic ductal dilatation? 
Bot: yes
"
the calcification is located in what vessel?,aorta,"User: the calcification is located in what vessel? 
Bot: aorta
"
is there cardiomegaly?,no,"User: is there cardiomegaly? 
Bot: no
"
can gray-white differentiation be well assessed with this image?,no,"User: can gray-white differentiation be well assessed with this image? 
Bot: no
"
are there any abnormalities in the kidneys?,no,"User: are there any abnormalities in the kidneys? 
Bot: no
"
what disease does the pathology suggest?,multiple sclerosis,"User: what disease does the pathology suggest? 
Bot: multiple sclerosis
"
is there evidence of large calcified lesions in the lung fields?,no,"User: is there evidence of large calcified lesions in the lung fields? 
Bot: no
"
is there a fracture in the vertebrae seen?,no,"User: is there a fracture in the vertebrae seen? 
Bot: no
"
is this image enhanced by contrast?,yes,"User: is this image enhanced by contrast? 
Bot: yes
"
what is the pathology seen above?,bilateral pleural effusion,"User: what is the pathology seen above? 
Bot: bilateral pleural effusion
"
is there blunting of the sulci?,yes,"User: is there blunting of the sulci? 
Bot: yes
"
which orientation is the image acquired?,pa,"User: which orientation is the image acquired? 
Bot: pa
"
how is the image oriented?,pa,"User: how is the image oriented? 
Bot: pa
"
is this a study of the chest?,yes,"User: is this a study of the chest? 
Bot: yes
"
is this a mri image?,yes,"User: is this a mri image? 
Bot: yes
"
is this a singular or multilobulated lesion?,multilobulated,"User: is this a singular or multilobulated lesion? 
Bot: multilobulated
"
where is the large hematoma located?,right lateral ventricle,"User: where is the large hematoma located? 
Bot: right lateral ventricle
"
what material is the peripheral hypodensity?,fat,"User: what material is the peripheral hypodensity? 
Bot: fat
"
what image modality is this?,ct,"User: what image modality is this? 
Bot: ct
"
what is abnormal in this image?,abnormal hyperintensity in the right occipital lobe,"User: what is abnormal in this image? 
Bot: abnormal hyperintensity in the right occipital lobe
"
how can you tell contrast has been give orally?,bowel contents light up on image,"User: how can you tell contrast has been give orally? 
Bot: bowel contents light up on image
"
is this a kub film?,no,"User: is this a kub film? 
Bot: no
"
is this an mri?,yes,"User: is this an mri? 
Bot: yes
"
which side is abnormal?,left,"User: which side is abnormal? 
Bot: left
"
is there pathology of the gallbladder?,no,"User: is there pathology of the gallbladder? 
Bot: no
"
brain structure shown in this image?,cerebellum,"User: brain structure shown in this image? 
Bot: cerebellum
"
how would you describe this lesion?,ring enhancing lesion in the right frontal lobe,"User: how would you describe this lesion? 
Bot: ring enhancing lesion in the right frontal lobe
"
what is the appearance of the liver?,shrunken and nodular,"User: what is the appearance of the liver? 
Bot: shrunken and nodular
"
was the patient positioned inappropriately?,no,"User: was the patient positioned inappropriately? 
Bot: no
"
mri imaging modality used?,dwi,"User: mri imaging modality used? 
Bot: dwi
"
is the liver parenchyma homogenous?,yes,"User: is the liver parenchyma homogenous? 
Bot: yes
"
how was this image taken?,x-ray,"User: how was this image taken? 
Bot: x-ray
"
where in the brain is the lesion?,right parietal lobe,"User: where in the brain is the lesion? 
Bot: right parietal lobe
"
is the 4th ventricle present in this image?,no,"User: is the 4th ventricle present in this image? 
Bot: no
"
are calcified lesions present in the lung fields?,no,"User: are calcified lesions present in the lung fields? 
Bot: no
"
what laterality is this film?,pa,"User: what laterality is this film? 
Bot: pa
"
to which side is the trachea deviated?,right,"User: to which side is the trachea deviated? 
Bot: right
"
is this in the coronal plane?,no,"User: is this in the coronal plane? 
Bot: no
"
where is the mass?,pineal region,"User: where is the mass? 
Bot: pineal region
"
where in relation to the mass is the left kidney located in this image?,posteriorly,"User: where in relation to the mass is the left kidney located in this image? 
Bot: posteriorly
"
is cerebral cortex present in this image?,no,"User: is cerebral cortex present in this image? 
Bot: no
"
is the image an ct scan?,no,"User: is the image an ct scan? 
Bot: no
"
where is the gastric bubble located?,underneath the right hemidiaphragm,"User: where is the gastric bubble located? 
Bot: underneath the right hemidiaphragm
"
is the left kidney affected?,no,"User: is the left kidney affected? 
Bot: no
"
what is the outer rim of the mass?,calcification,"User: what is the outer rim of the mass? 
Bot: calcification
"
is the chest x-ray normal?,no,"User: is the chest x-ray normal? 
Bot: no
"
on which side is the cardiac border more obscured?,right,"User: on which side is the cardiac border more obscured? 
Bot: right
"
is a ring enhancing lesion present in the right lobe of the liver?,no,"User: is a ring enhancing lesion present in the right lobe of the liver? 
Bot: no
"
which plane is this image taken in?,pa,"User: which plane is this image taken in? 
Bot: pa
"
are there any other cysts in the image?,no,"User: are there any other cysts in the image? 
Bot: no
"
can you diagnose a pericardial effusion from this image?,no,"User: can you diagnose a pericardial effusion from this image? 
Bot: no
"
is there contrast present in the bowel?,in the bowel,"User: is there contrast present in the bowel? 
Bot: in the bowel
"
is there oral contrast in the colon?,yes,"User: is there oral contrast in the colon? 
Bot: yes
"
can the liver be seen in this image?,yes,"User: can the liver be seen in this image? 
Bot: yes
"
are any organs besides the intestines present in this image?,yes,"User: are any organs besides the intestines present in this image? 
Bot: yes
"
what is the radiological description of the color of the edema?,hypodense,"User: what is the radiological description of the color of the edema? 
Bot: hypodense
"
what part of the body does this radiograph show?,chest,"User: what part of the body does this radiograph show? 
Bot: chest
"
is this image normal?,no,"User: is this image normal? 
Bot: no
"
where is the mass located?,anterior to the transverse colon,"User: where is the mass located? 
Bot: anterior to the transverse colon
"
what organ system is being imaged?,chest,"User: what organ system is being imaged? 
Bot: chest
"
what is behind the liver?,ascites,"User: what is behind the liver? 
Bot: ascites
"
what is the plane?,coronal,"User: what is the plane? 
Bot: coronal
"
is there calcification,yes,"User: is there calcification 
Bot: yes
"
is this an anterior posterior image?,no,"User: is this an anterior posterior image? 
Bot: no
"
is there a fracture of the clavicle?,no,"User: is there a fracture of the clavicle? 
Bot: no
"
is there mass effect seen on this image?,yes,"User: is there mass effect seen on this image? 
Bot: yes
"
where is the mass located?,right kidney,"User: where is the mass located? 
Bot: right kidney
"
what type of imaging is this?,xray,"User: what type of imaging is this? 
Bot: xray
"
where is the mass?,left rectus abdominus,"User: where is the mass? 
Bot: left rectus abdominus
"
which plane is the image taken?,axial,"User: which plane is the image taken? 
Bot: axial
"
was contrast used?,yes,"User: was contrast used? 
Bot: yes
"
which direction is the azygoesophageal recess deviated?,right,"User: which direction is the azygoesophageal recess deviated? 
Bot: right
"
is a clavicular fracture present?,no,"User: is a clavicular fracture present? 
Bot: no
"
is there bone in the top of the image?,no,"User: is there bone in the top of the image? 
Bot: no
"
is this a pa image?,yes,"User: is this a pa image? 
Bot: yes
"
is the abnormality hyper dense or hypo dense?,hypodense,"User: is the abnormality hyper dense or hypo dense? 
Bot: hypodense
"
what is the gender of this patient?,man,"User: what is the gender of this patient? 
Bot: man
"
was iv contrast given to the patient?,yes,"User: was iv contrast given to the patient? 
Bot: yes
"
what are the foci of hyperdensities on the left?,ribs,"User: what are the foci of hyperdensities on the left? 
Bot: ribs
"
was this image taken from a superior-most section of the brain?,no,"User: was this image taken from a superior-most section of the brain? 
Bot: no
"
what is this mass to the left of the patient?,the liver,"User: what is this mass to the left of the patient? 
Bot: the liver
"
is there a midline shift of the cerebral parenchyma?,no,"User: is there a midline shift of the cerebral parenchyma? 
Bot: no
"
is this an image of the cerebellum,yes,"User: is this an image of the cerebellum 
Bot: yes
"
which cranial nerves are possibly affected by this lesion?,oculomotor nerve (cn iii) and trigeminal nerves (cn v),"User: which cranial nerves are possibly affected by this lesion? 
Bot: oculomotor nerve (cn iii) and trigeminal nerves (cn v)
"
is a pleural effusion present?,no,"User: is a pleural effusion present? 
Bot: no
"
is this patient rotated?,no,"User: is this patient rotated? 
Bot: no
"
is there a skull fracture pictured?,no,"User: is there a skull fracture pictured? 
Bot: no
"
are the heart and lungs displayed well in this film,yes,"User: are the heart and lungs displayed well in this film 
Bot: yes
"
where are the infarcts located?,diffuse,"User: where are the infarcts located? 
Bot: diffuse
"
is there evidence of fluid in the peritoneal cavity?,no,"User: is there evidence of fluid in the peritoneal cavity? 
Bot: no
"
can you see the abdominal fat pads?,no,"User: can you see the abdominal fat pads? 
Bot: no
"
is the celiac trunk able to be visualized in this patient?,yes,"User: is the celiac trunk able to be visualized in this patient? 
Bot: yes
"
do you suspect a primary brain process?,no,"User: do you suspect a primary brain process? 
Bot: no
"
is the etiology genetic or vascular?,vascular,"User: is the etiology genetic or vascular? 
Bot: vascular
"
"we see mesenteric lymphadenopathy in the above image, where else is there cancer?",peritoneum,"User: we see mesenteric lymphadenopathy in the above image, where else is there cancer? 
Bot: peritoneum
"
is the bowel perforated?,no,"User: is the bowel perforated? 
Bot: no
"
would you suspect abcess or cancer for this finding?,abscess,"User: would you suspect abcess or cancer for this finding? 
Bot: abscess
"
is this the brain?,yes,"User: is this the brain? 
Bot: yes
"
where is the pathology?,in the cortex and basal ganglia bilaterally,"User: where is the pathology? 
Bot: in the cortex and basal ganglia bilaterally
"
what does the hypodensity suggest?,metastasis,"User: what does the hypodensity suggest? 
Bot: metastasis
"
what is hyperdensity under the diaphragm on the left?,stomach bubble,"User: what is hyperdensity under the diaphragm on the left? 
Bot: stomach bubble
"
is the skull fractured?,no,"User: is the skull fractured? 
Bot: no
"
what contrast was administered to this patient?,oral and iv,"User: what contrast was administered to this patient? 
Bot: oral and iv
"
can you visualize the 4th ventricle?,no,"User: can you visualize the 4th ventricle? 
Bot: no
"
is there a widened mediastium?,yes,"User: is there a widened mediastium? 
Bot: yes
"
how would you describe the location of the lesion?,retrocardiac,"User: how would you describe the location of the lesion? 
Bot: retrocardiac
"
what is abnormal in this image?,hydropneumothorax,"User: what is abnormal in this image? 
Bot: hydropneumothorax
"
what is the dark space in the body cavity near the top of the image?,large bowel,"User: what is the dark space in the body cavity near the top of the image? 
Bot: large bowel
"
is the mass in the pancreas enhancing?,no,"User: is the mass in the pancreas enhancing? 
Bot: no
"
how was this image taken?,x-ray,"User: how was this image taken? 
Bot: x-ray
"
what is the hypo-dense area seen in the vertebrae?,nucleus pulposus,"User: what is the hypo-dense area seen in the vertebrae? 
Bot: nucleus pulposus
"
what is the likely pathology?,pres,"User: what is the likely pathology? 
Bot: pres
"
where is the abnormality located?,r hemidiaphragm,"User: where is the abnormality located? 
Bot: r hemidiaphragm
"
what plane is this image taken?,axial,"User: what plane is this image taken? 
Bot: axial
"
is the pancreas calcified?,no,"User: is the pancreas calcified? 
Bot: no
"
is there decreased aeration at the apex?,yes,"User: is there decreased aeration at the apex? 
Bot: yes
"
where is the mass located?,pineal gland,"User: where is the mass located? 
Bot: pineal gland
"
how many ring enhancing lesions can be found in this image?,one,"User: how many ring enhancing lesions can be found in this image? 
Bot: one
"
is there ventricular enlargement?,no,"User: is there ventricular enlargement? 
Bot: no
"
what is the location of the abnormality?,right side of the trachea,"User: what is the location of the abnormality? 
Bot: right side of the trachea
"
is the lung hyperinflated on one or both sides?,both sides,"User: is the lung hyperinflated on one or both sides? 
Bot: both sides
"
which signs of edema are visualized here?,sulcal effacement,"User: which signs of edema are visualized here? 
Bot: sulcal effacement
"
what abnormal findings are present in this image?,ring-enhancing lesion,"User: what abnormal findings are present in this image? 
Bot: ring-enhancing lesion
"
what does the black area signify?,black,"User: what does the black area signify? 
Bot: black
"
in which lobes do you see a higher density of masses?,upper lobes,"User: in which lobes do you see a higher density of masses? 
Bot: upper lobes
"
what is the plane of this image?,axial,"User: what is the plane of this image? 
Bot: axial
"
doe this image depict an interstitial lung process?,yes,"User: doe this image depict an interstitial lung process? 
Bot: yes
"
does this image show a pleural effusion?,no,"User: does this image show a pleural effusion? 
Bot: no
"
is there a loculated pancreatic mass?,yes,"User: is there a loculated pancreatic mass? 
Bot: yes
"
are the kidneys atrophied?,no,"User: are the kidneys atrophied? 
Bot: no
"
name one abnormality in the radiograph.,increased opacity in the left retrocardiac region,"User: name one abnormality in the radiograph. 
Bot: increased opacity in the left retrocardiac region
"
what cut of the brain is this image taken?,axial,"User: what cut of the brain is this image taken? 
Bot: axial
"
is pleural effusion present?,no,"User: is pleural effusion present? 
Bot: no
"
is there no evidence of any hypo- or hyperattenuations located in the liver?,yes,"User: is there no evidence of any hypo- or hyperattenuations located in the liver? 
Bot: yes
"
is there air in the abdominal cavity?,no,"User: is there air in the abdominal cavity? 
Bot: no
"
is the primary abnormality more or less dense than surrounding matter?,less dense,"User: is the primary abnormality more or less dense than surrounding matter? 
Bot: less dense
"
the image has an abnormality located where?,retrocardiac,"User: the image has an abnormality located where? 
Bot: retrocardiac
"
is there no evidence of blunting of the costophrenic angles?,yes,"User: is there no evidence of blunting of the costophrenic angles? 
Bot: yes
"
is there a lesion in the left temporal lobe?,yes,"User: is there a lesion in the left temporal lobe? 
Bot: yes
"
do the two findings have the same etiology?,yes,"User: do the two findings have the same etiology? 
Bot: yes
"
was contrast used to take this image?,with contrast,"User: was contrast used to take this image? 
Bot: with contrast
"
what pathology is seen int his image? what side?,right sided pleural effusion,"User: what pathology is seen int his image? what side? 
Bot: right sided pleural effusion
"
where is the mass located?,sella and suprasellar cistern,"User: where is the mass located? 
Bot: sella and suprasellar cistern
"
is the mass homogeneous?,no,"User: is the mass homogeneous? 
Bot: no
"
is it possible to see the cerebellum in this image?,no,"User: is it possible to see the cerebellum in this image? 
Bot: no
"
what part of the posterior brain contains the lesions?,temporal and lateral occipital lobes,"User: what part of the posterior brain contains the lesions? 
Bot: temporal and lateral occipital lobes
"
is air present in the bowel?,yes,"User: is air present in the bowel? 
Bot: yes
"
are brain structures shifted across the midline?,no,"User: are brain structures shifted across the midline? 
Bot: no
"
are there normal number of kidneys?,yes,"User: are there normal number of kidneys? 
Bot: yes
"
is there a cyst in the right kidney?,no,"User: is there a cyst in the right kidney? 
Bot: no
"
what is the muscle adjacent to the vertebrae?,psoas major muscle,"User: what is the muscle adjacent to the vertebrae? 
Bot: psoas major muscle
"
are the cortexes atrophied here?,no,"User: are the cortexes atrophied here? 
Bot: no
"
in which area of the brain are the infarcts found?,right cerebellum,"User: in which area of the brain are the infarcts found? 
Bot: right cerebellum
"
what organ system is primarily present in this image?,gastrointestinal,"User: what organ system is primarily present in this image? 
Bot: gastrointestinal
"
is this image abnormal?,yes,"User: is this image abnormal? 
Bot: yes
"
what are the multiple round hyperdensities located immediately inferior to the musculature?,intestine,"User: what are the multiple round hyperdensities located immediately inferior to the musculature? 
Bot: intestine
"
would perform this same modality in a patient with aki?,no,"User: would perform this same modality in a patient with aki? 
Bot: no
"
what structures is identified in the middle of this image?,pons,"User: what structures is identified in the middle of this image? 
Bot: pons
"
is this a transverse section?,yes,"User: is this a transverse section? 
Bot: yes
"
is the gall bladder enlarged?,no,"User: is the gall bladder enlarged? 
Bot: no
"
where on the image is the lesion?,left temporal lobe,"User: where on the image is the lesion? 
Bot: left temporal lobe
"
what term is synonymous with lens-shaped?,biconvex,"User: what term is synonymous with lens-shaped? 
Bot: biconvex
"
at which rib is the lesion located?,7th rib,"User: at which rib is the lesion located? 
Bot: 7th rib
"
is there dependent layering in the occipital horns of the lateral ventricles?,yes,"User: is there dependent layering in the occipital horns of the lateral ventricles? 
Bot: yes
"
is the trachea midline?,yes,"User: is the trachea midline? 
Bot: yes
"
which cerebral cortex contains the lesion?,diffuse,"User: which cerebral cortex contains the lesion? 
Bot: diffuse
"
is this a t2 weighted image?,yes,"User: is this a t2 weighted image? 
Bot: yes
"
what is the opacity near the left lung apex?,pacemaker,"User: what is the opacity near the left lung apex? 
Bot: pacemaker
"
what is the form of the mass?,elliptical,"User: what is the form of the mass? 
Bot: elliptical
"
is the aorta abnormally wide?,no,"User: is the aorta abnormally wide? 
Bot: no
"
what brain territory is the hemorrhage located?,right sylvian fissure,"User: what brain territory is the hemorrhage located? 
Bot: right sylvian fissure
"
how would you describe the pathology seen in the above image?,"rounded, well-defined pulmonary nodules varying in size and pattern","User: how would you describe the pathology seen in the above image? 
Bot: rounded, well-defined pulmonary nodules varying in size and pattern
"
are there lungs free of consolidation?,yes,"User: are there lungs free of consolidation? 
Bot: yes
"
does the appendix appear normal?,no,"User: does the appendix appear normal? 
Bot: no
"
is there lymphadenopathy?,no,"User: is there lymphadenopathy? 
Bot: no
"
what abnormalities are in the right upper quadrant?,gallstones,"User: what abnormalities are in the right upper quadrant? 
Bot: gallstones
"
where is this slice located in the human body?,mid abdomen,"User: where is this slice located in the human body? 
Bot: mid abdomen
"
was contrast used with this image?,yes,"User: was contrast used with this image? 
Bot: yes
"
are the cerebellar infarcts hyper attenuated?,yes,"User: are the cerebellar infarcts hyper attenuated? 
Bot: yes
"
are these masses encompassing the aorta?,no,"User: are these masses encompassing the aorta? 
Bot: no
"
is there a pleural effusion?,no,"User: is there a pleural effusion? 
Bot: no
"
what is the name of this image's plane?,posteroanterior,"User: what is the name of this image's plane? 
Bot: posteroanterior
"
where is the abnormality located in this image?,retrocardiac,"User: where is the abnormality located in this image? 
Bot: retrocardiac
"
is the mass surrounding the aorta?,no,"User: is the mass surrounding the aorta? 
Bot: no
"
is there damage to the liver?,no,"User: is there damage to the liver? 
Bot: no
"
what type of image is this?,mri-dwi,"User: what type of image is this? 
Bot: mri-dwi
"
is a pneumothorax present?,no,"User: is a pneumothorax present? 
Bot: no
"
"what is denser, the mass or the surrounding brain tissue?",surrounding tissue,"User: what is denser, the mass or the surrounding brain tissue? 
Bot: surrounding tissue
"
what can be done to get to a diagnosis?,biopsy,"User: what can be done to get to a diagnosis? 
Bot: biopsy
"
what is the name of the lesions seen in this image?,ms plaques,"User: what is the name of the lesions seen in this image? 
Bot: ms plaques
"
is there atrophy of the brain?,yes,"User: is there atrophy of the brain? 
Bot: yes
"
what types of contrast does this patient have?,oral and iv,"User: what types of contrast does this patient have? 
Bot: oral and iv
"
which side of the image is the aortic arch visualized?,right side,"User: which side of the image is the aortic arch visualized? 
Bot: right side
"
where is the spleen located?,on the left,"User: where is the spleen located? 
Bot: on the left
"
is this an axial plane image?,yes,"User: is this an axial plane image? 
Bot: yes
"
does this image show heart failure?,yes,"User: does this image show heart failure? 
Bot: yes
"
where is the abnormality?,right upper lobe,"User: where is the abnormality? 
Bot: right upper lobe
"
in what vascular territory is the lesion located?,right mca,"User: in what vascular territory is the lesion located? 
Bot: right mca
"
what is the condition of the patient,blind loop syndrome,"User: what is the condition of the patient 
Bot: blind loop syndrome
"
was contrast used?,yes,"User: was contrast used? 
Bot: yes
"
what modality is used in this image?,ct,"User: what modality is used in this image? 
Bot: ct
"
are there other abnormalities besides the mass in the temporal horn?,yes,"User: are there other abnormalities besides the mass in the temporal horn? 
Bot: yes
"
what is the location of the lesion?,abdomen and pelvis,"User: what is the location of the lesion? 
Bot: abdomen and pelvis
"
what does the abnormality in this image represent?,infarct,"User: what does the abnormality in this image represent? 
Bot: infarct
"
is there contrast in this image?,yes,"User: is there contrast in this image? 
Bot: yes
"
is there adequate inspiration?,yes,"User: is there adequate inspiration? 
Bot: yes
"
why do you not see sulci in the image?,there is massive cerebral hemisphere edema,"User: why do you not see sulci in the image? 
Bot: there is massive cerebral hemisphere edema
"
is this image of the thorax?,yes,"User: is this image of the thorax? 
Bot: yes
"
what is the secondary abnormality in this image?,moderate edema,"User: what is the secondary abnormality in this image? 
Bot: moderate edema
"
is there any costophrenic angle blunting present?,no,"User: is there any costophrenic angle blunting present? 
Bot: no
"
is air visible in the bowels?,yes,"User: is air visible in the bowels? 
Bot: yes
"
is there shifting of structures across the middle?,no,"User: is there shifting of structures across the middle? 
Bot: no
"
which region of the brain is impacted?,anterior surface,"User: which region of the brain is impacted? 
Bot: anterior surface
"
which lobe is the lesion in?,left parietal lobe,"User: which lobe is the lesion in? 
Bot: left parietal lobe
"
is there high signal intensity in the csf?,yes,"User: is there high signal intensity in the csf? 
Bot: yes
"
are both kidneys visualized?,yes,"User: are both kidneys visualized? 
Bot: yes
"
are the kidneys hyper attenuated?,yes,"User: are the kidneys hyper attenuated? 
Bot: yes
"
what do the hyperdensities represent?,infarct,"User: what do the hyperdensities represent? 
Bot: infarct
"
are any intestinal abnormalities present?,no,"User: are any intestinal abnormalities present? 
Bot: no
"
is there evidence of grey matter edema?,yes,"User: is there evidence of grey matter edema? 
Bot: yes
"
what types of contrast did this patient have?,oral and iv,"User: what types of contrast did this patient have? 
Bot: oral and iv
"
is there free air under the diaphragm?,no,"User: is there free air under the diaphragm? 
Bot: no
"
is this a ct scan?,yes,"User: is this a ct scan? 
Bot: yes
"
where is the mass?,left temporal horn,"User: where is the mass? 
Bot: left temporal horn
"
are there rib fractures present?,no,"User: are there rib fractures present? 
Bot: no
"
what tells you that the image is t2?,white versus grey matter brightness,"User: what tells you that the image is t2? 
Bot: white versus grey matter brightness
"
is the trachea midline?,yes,"User: is the trachea midline? 
Bot: yes
"
is there evidence of calcification in the mass?,yes,"User: is there evidence of calcification in the mass? 
Bot: yes
"
what sign determines the absence of a pleural effusion?,sharp costophrenic angles,"User: what sign determines the absence of a pleural effusion? 
Bot: sharp costophrenic angles
"
is there evidence of calcifications in the cerebral arteries?,yes,"User: is there evidence of calcifications in the cerebral arteries? 
Bot: yes
"
is the heart displaced?,no,"User: is the heart displaced? 
Bot: no
"
are any ventricles visualized on this image?,yes,"User: are any ventricles visualized on this image? 
Bot: yes
"
has the left lung collapsed?,yes,"User: has the left lung collapsed? 
Bot: yes
"
does this image show a tension pneumothorax?,no,"User: does this image show a tension pneumothorax? 
Bot: no
"
what modality is this?,chest x ray,"User: what modality is this? 
Bot: chest x ray
"
is there a cyst in the left kidney?,no,"User: is there a cyst in the left kidney? 
Bot: no
"
what is in the right upper quadrant?,gallstones,"User: what is in the right upper quadrant? 
Bot: gallstones
"
was this taken with good x ray penetration,yes,"User: was this taken with good x ray penetration 
Bot: yes
"
do bones appear lighter on this image's modality?,yes,"User: do bones appear lighter on this image's modality? 
Bot: yes
"
is this an infiltrating mass?,yes,"User: is this an infiltrating mass? 
Bot: yes
"
is there an acute bleed present?,necrotic tissue,"User: is there an acute bleed present? 
Bot: necrotic tissue
"
what lesions are present in the lungs?,none,"User: what lesions are present in the lungs? 
Bot: none
"
is the trachea shifted?,no,"User: is the trachea shifted? 
Bot: no
"
can the cerebral cortex be visualized at this level?,no,"User: can the cerebral cortex be visualized at this level? 
Bot: no
"
which side is the abnormality on?,right,"User: which side is the abnormality on? 
Bot: right
"
what is enhanced by contrast in the lesion?,calcifications,"User: what is enhanced by contrast in the lesion? 
Bot: calcifications
"
was contrast used to take this image?,yes,"User: was contrast used to take this image? 
Bot: yes
"
is there evidence of pneumoperitoneum?,no,"User: is there evidence of pneumoperitoneum? 
Bot: no
"
